,predict,actual
23237,39291.50367106348,33318
12086,30736.188654308597,29616
21989,14537.963275407865,16042
16797,16876.253766142738,19744
6278,3772.840355569629,7404
18956,40244.89691744737,40722
14357,2447.811933185876,7404
1534,23492.089472982712,22212
24425,29094.663111471575,30850
14086,30277.5086515214,30850
12521,45765.26878784189,49360
14302,27655.07698066336,25914
19798,16477.33029305044,11106
437,17903.216129176253,18510
12616,33129.280323773026,39488
5608,15950.14881685129,14808
19678,9233.231111724559,11106
20792,48745.4107554727,50594
13821,41414.04216281481,33318
10570,8178.868159326267,7404
7190,30392.178652218197,27148
18489,27884.416982056962,24680
9382,16133.320290960039,14808
20485,12199.672784672986,16042
13930,23262.749471589115,24680
17278,52009.80619549903,53062
2777,33129.280323773026,30850
22447,22478.82740463159,19744
10700,31960.13507840559,29616
11011,53834.5032124448,60466
22644,41372.94127876764,38254
23233,15051.44445692462,11106
1710,37865.61783493767,38254
17163,13510.888620102003,8638
6626,16289.203467976351,20978
13516,23492.089472982712,19744
10827,34555.16615989884,35786
6156,14822.104455531024,16042
11915,17903.216129176253,19744
4625,11415.750717715462,12340
22602,13740.228621495602,13574
12996,37737.13524728614,37020
6073,29452.37340824436,25914
15129,24262.4235375302,22212
2427,35013.84616268604,30850
12114,8307.238454705455,6170
20933,26573.201146627947,29616
19369,48360.29986933513,54296
13695,30506.848652914996,33318
3860,33372.32061984902,25914
7446,36081.909409766726,37020
15384,34669.836160595645,34552
19127,30277.5086515214,34552
10384,16417.57376335554,19744
12879,36439.731998811854,35786
10411,29195.63281748598,28382
17587,5299.58360543751,3702
17106,34669.836160595645,33318
14882,12584.8959630829,17276
23572,25999.85114314395,20978
19560,33243.95032446983,28382
14899,30364.778062853416,27148
16340,29878.69747070144,33318
16637,42285.345933376695,39488
23177,15078.957338561744,12340
23317,16532.24376405234,18510
1279,6381.459439472927,6170
10015,62220.23475750098,57998
8867,23350.018882921137,22212
16636,44651.03701347636,41956
3465,53206.352030231246,54296
21706,25986.15084846156,25914
1242,16518.54346936995,17276
13433,49272.70452394419,50594
3605,41913.93534192151,38254
18486,44765.70701417315,48126
23492,9233.231111724559,9872
10884,37406.93783215048,41956
18318,21080.342157870557,18510
7977,45806.369671889064,46892
829,10888.456949243973,9872
19541,41684.595340527914,44424
9142,7922.0152762955395,7404
1571,17444.536126389055,12340
10344,42656.756524831864,46892
1353,39332.60455511066,37020
604,47502.808685727985,46892
10660,36311.24941116032,39488
6898,14010.781799208718,9872
15145,36095.72199672146,43190
9488,12314.342785369787,6170
13785,21208.712453249747,19744
8653,6496.129440169726,7404
13118,19214.431964605268,20978
20694,35013.84616268604,33318
21780,37865.61783493767,38254
6193,16775.284060128328,22212
6831,37223.654065769384,37020
2663,32061.10478442,28382
20019,31703.394487647212,28382
23213,12227.185666310112,11106
3724,22079.90393153929,20978
6504,11415.750717715462,8638
5494,16491.142880005173,11106
12613,33358.62032516662,32084
2820,25945.049964414393,20978
12075,27655.07698066336,28382
3193,7807.345275598741,8638
16628,8233.669338055824,8638
23521,28709.552225334006,28382
22234,43339.821178047336,46892
7450,34257.21239282095,35786
9184,11970.33278327939,13574
11058,39217.934554413856,39488
18575,37636.277833544074,38254
21628,27540.406979966563,27148
17826,26201.79055517277,27148
10646,8307.238454705455,11106
1190,35068.6473414156,37020
20529,7023.423208641215,11106
19722,20640.31780073108,16042
1628,51482.51242702754,57998
24246,20869.657802124682,14808
23346,9233.231111724559,11106
3361,32162.074490434406,30850
2805,9462.571113118158,7404
3426,907.3683886356054,7404
1957,27911.81757142174,23446
9506,9233.231111724559,8638
11160,25417.756195942904,27148
8839,29168.232228121204,25914
11069,10888.456949243973,4936
13508,11172.710421639473,8638
1915,37750.94783424088,41956
4309,10888.456949243973,6170
20014,1021.9260970600616,3702
312,26458.53114593115,24680
6674,28067.58845616571,27148
15535,19443.77196599887,16042
9413,51665.796193408634,55530
12622,48772.811344837486,54296
5227,47232.255508014874,46892
12315,19714.32514371198,19744
7993,-646.8877428693985,6170
14601,12199.672784672986,7404
10623,33129.280323773026,38254
7099,21937.83334147771,25914
6948,4827.315600240266,7404
16311,10902.269536198704,8638
13944,36210.39199741826,38254
24961,3759.1400608872395,6170
24058,25601.039962323994,28382
8000,43454.37888647178,40722
19253,40373.37950509891,39488
16554,32047.40448973761,27148
7508,26999.525209085026,29616
23985,42940.89770495502,39488
24444,19769.126322441538,17276
15738,23606.759473679514,25914
12048,13937.212682559088,13574
1047,-403.95973906575216,3702
1090,44852.864133232826,48126
2576,39291.50367106348,43190
11616,28594.882224637207,28382
15968,29195.63281748598,32084
7825,36210.39199741826,37020
5988,20640.20550845874,20978
20263,6037.44943738253,8638
13361,22735.567995389967,27148
18030,35013.84616268604,39488
5931,29195.63281748598,27148
12401,47360.62580339406,45658
12221,53962.873507823984,59232
12515,8563.979045463833,9872
4700,33101.87973440825,29616
20760,31818.064488344015,34552
9996,31304.58330682726,33318
5047,12598.596257765288,7404
6236,36439.731998811854,38254
20846,55260.389048570614,53062
5617,22180.8736375537,19744
19016,12470.2259623861,11106
20856,10659.116947850374,9872
19456,12314.342785369787,6170
13456,35811.46852432595,32084
24075,37406.93783215048,32084
21713,6725.469441563325,4936
18414,13882.41150382953,12340
12472,44651.03701347636,46892
2481,37521.60783284728,38254
17246,29080.962816789182,23446
875,35068.6473414156,38254
10401,20869.657802124682,14808
15078,44852.864133232826,48126
8919,38947.49366897309,37020
16613,21951.5336361601,17276
7496,6496.129440169726,6170
3882,28012.787277436153,28382
9925,32162.074490434406,30850
21506,34486.552394214545,35786
22754,43569.16117944093,41956
2769,33743.73121130419,32084
8787,7821.1578625534785,9872
2188,34541.35357294411,37020
4936,19099.76196390847,19744
13703,43569.04888716858,38254
3874,13740.228621495602,11106
2179,33757.431505986584,33318
1244,38947.49366897309,43190
13294,43110.48117665374,38254
16780,15106.357927926525,18510
11164,24674.935013032544,23446
1490,46961.8146225741,44424
13858,34555.16615989884,32084
14091,38933.68108201836,39488
15644,23606.759473679514,20978
16487,42798.82711489345,39488
2055,19443.77196599887,20978
8746,18416.809602965357,18510
12239,22850.237996086766,17276
13166,14936.774456227822,14808
5265,24830.705897776515,28382
11153,6266.9017310484705,7404
3841,36710.17288425263,39488
9601,40717.3895071893,39488
12687,38122.24613342371,35786
830,28723.2525200164,30850
7806,13781.44179781512,11106
18760,22295.5436382505,17276
20851,14065.582977938278,16042
9825,5469.167077136212,8638
4860,23093.165999890414,19744
3583,23377.419472285914,22212
3460,17903.216129176253,17276
21352,16133.320290960039,14808
12450,9219.643109314513,7404
6925,44609.823837156844,48126
2025,10773.786948547173,8638
6704,-403.95973906575216,6170
8293,34101.441508076976,34552
18237,28810.521931348412,25914
10385,24390.79383290939,27148
10575,47773.24957116875,45658
10535,18457.910487012523,14808
16393,35013.84616268604,34552
19795,7009.722913958826,8638
5710,28668.451341286836,28382
4603,27769.74698136016,25914
18963,12199.672784672986,6170
4782,36966.913475011,32084
18042,2333.2542247614188,14808
13942,29181.932522803592,30850
286,30736.188654308597,30850
3231,39163.02108341196,40722
2310,30621.518653611794,37020
17029,14592.764454137425,17276
7005,16133.320290960039,17276
2230,13781.44179781512,11106
5536,26898.555503070616,34552
19493,9389.114288740873,7404
2084,37521.60783284728,37020
10977,-390.1471521110201,9872
6798,9389.114288740873,7404
278,16362.660292353636,9872
6029,20296.307798640686,19744
5856,17504.404948356296,14808
7849,15166.114457621421,8638
20795,19099.76196390847,22212
8941,33486.99062054581,32084
3945,31547.62360290324,30850
14987,29764.027470004643,27148
6738,18870.421962514873,17276
22899,18985.09196321167,23446
20217,37494.09495121015,44424
10894,58112.16072082224,62934
13797,27769.74698136016,22212
11813,31818.064488344015,32084
3468,-775.2580382485875,7404
11868,26343.861145234347,27148
18300,2447.811933185876,3702
21109,39291.50367106348,32084
6263,9347.901112421358,4936
13859,29195.63281748598,25914
17964,24688.635307714936,27148
5286,11044.340126260284,6170
15888,-390.1471521110201,7404
346,36966.913475011,35786
3691,11099.141304989846,13574
16479,28695.851930651614,25914
12899,12713.266258462088,12340
19037,15051.44445692462,9872
479,27513.006390601782,29616
22122,23349.906590648792,27148
4102,21593.823339387312,28382
20269,37750.94783424088,34552
10705,12098.81537093092,9872
4937,34871.66328035211,34552
9704,7692.7875671742895,8638
12861,30080.63688273026,29616
14754,9247.043698679294,7404
18897,23377.419472285914,24680
17478,35013.84616268604,29616
21937,51780.46619410544,48126
12710,29878.69747070144,32084
19850,1035.7386840147942,7404
5179,14139.152094587907,19744
17817,11855.662782582589,11106
6107,20869.657802124682,25914
21961,28141.15757281534,27148
16564,24688.635307714936,29616
18354,37521.60783284728,34552
22444,40258.709504402104,40722
3624,33358.62032516662,37020
6106,24573.965307018138,23446
1084,12314.342785369787,6170
23899,24688.635307714936,22212
12162,26458.53114593115,27148
23436,14152.852389270296,17276
4551,39062.163669669884,38254
9541,43426.978297107,37020
7570,36352.35029520749,34552
13432,28966.292816092384,32084
18834,13510.888620102003,16042
17836,49455.875998052936,57998
16440,30763.589243673374,33318
20449,3401.429764114452,4936
14944,37750.94783424088,38254
5025,21140.210979837797,18510
11259,13625.558620798802,12340
6226,34156.35497907889,30850
23241,40602.7195064925,33318
7607,53962.873507823984,50594
15433,26343.861145234347,19744
572,31932.73448904081,27148
10614,47502.69639345563,45658
13587,13781.44179781512,18510
11472,17376.034652977105,19744
17512,30736.188654308597,30850
11152,21268.581275216984,23446
24801,17146.694651583504,19744
17360,8889.221109634162,7404
18960,8192.568454008655,9872
19811,37480.394656527766,39488
10373,13510.888620102003,7404
4217,27884.416982056962,25914
21182,30736.188654308597,34552
14617,33230.13773751509,37020
11855,3873.697769311689,3702
927,15092.657633244135,18510
766,49914.55600084013,44424
7151,11071.740715625065,8638
8892,26114.52114384075,29616
591,41542.412458194,43190
14316,24505.463833606187,19744
23617,39062.163669669884,34552
13635,5327.096487074634,8638
4357,9604.753995452082,7404
11953,52050.9070795462,49360
10642,18558.880193026936,20978
3020,47502.808685727985,48126
11995,28851.622815395585,34552
14439,48415.101048064695,54296
11144,25945.049964414393,25914
13167,16477.33029305044,18510
12880,57098.78636019879,59232
19027,30263.80835683901,30850
10095,41799.26534122472,39488
2476,30392.178652218197,34552
18868,6381.571731745269,8638
8964,31818.064488344015,30850
4048,36439.731998811854,37020
22169,23148.079470892317,25914
22698,29094.663111471575,29616
22680,10672.929534805107,8638
1316,29080.962816789182,33318
21697,31547.62360290324,30850
2900,54861.57786775066,59232
5670,48502.37045939672,45658
21149,12071.414781566142,9872
3125,27357.235505857814,29616
2383,50056.62659090172,46892
9787,31703.394487647212,28382
8991,35412.657343506,40722
18585,55943.453701786086,61700
19466,8036.68527699234,7404
11231,18173.769306889368,17276
22027,-1816.0329882368337,8638
1583,39291.50367106348,41956
6676,47846.70639554603,49360
613,49827.28658950812,49360
5244,59139.23537612811,64168
5392,57328.12636159239,65402
8781,21722.193634766503,19744
20818,29323.89082059282,23446
3992,40717.3895071893,35786
15238,35068.6473414156,38254
2870,11740.99278188579,14808
14287,41129.900982691644,45658
7641,-646.8877428693985,7404
20447,50042.926296219324,49360
19534,31533.923308220856,32084
24438,10773.786948547173,8638
17820,14822.104455531024,14808
14405,40446.83632947619,45658
9923,28837.922520713193,33318
24307,22066.2036368569,25914
7552,34899.17616198924,39488
9469,16592.000293747238,16042
17601,38906.28049265358,39488
8911,24532.752130698616,24680
3806,36439.731998811854,34552
24170,20410.977799337485,17276
8464,10315.106945759977,9872
14802,10888.456949243973,9872
10284,6693.113501233208,8638
6427,30804.802419992888,35786
994,30621.518653611794,28382
2011,29209.333112168373,27148
4934,39020.95049335038,38254
4110,30621.518653611794,27148
13996,44536.367012779556,41956
1543,49158.03452324739,45658
20262,37636.277833544074,37020
9628,19640.75602706235,19744
23780,50455.43777172167,53062
1734,20754.987801427884,18510
21158,12328.155372324522,7404
821,24688.635307714936,24680
2285,33587.96032656022,29616
5288,56030.61082084575,60466
13399,40244.89691744737,41956
21393,33243.95032446983,32084
5603,21836.8636354633,22212
6804,28952.480229137644,25914
15538,23891.01294607502,27148
20544,55672.90052407297,59232
6287,30621.518653611794,32084
10129,48630.74075477591,54296
14565,43170.23770634862,35786
18921,25101.259075489626,22212
4721,33601.66062124261,38254
2750,34555.16615989884,33318
10823,7949.528157932668,6170
3840,26371.261734599128,29616
16632,19856.39573377356,16042
6633,7564.4172717951,9872
17702,47388.13868503118,53062
8020,40258.709504402104,35786
5880,17444.536126389055,14808
14529,61835.123871363416,65402
21879,24573.965307018138,19744
21467,21951.5336361601,23446
13370,34784.50616129244,34552
1271,3502.399470128861,7404
21688,52009.80619549903,50594
18054,41487.611279464436,38254
6038,16362.660292353636,14808
15503,26073.42025979358,22212
14390,5184.913604740711,6170
18542,7922.0152762955395,7404
17852,44738.19413253603,40722
17602,24830.705897776515,25914
4898,34899.17616198924,28382
13650,18985.09196321167,20978
3435,20525.647800034283,20978
14547,22079.90393153929,24680
15285,27425.736979269765,24680
3208,-646.8877428693985,7404
4823,21722.193634766503,22212
2634,6523.642321806849,9872
1559,35013.84616268604,37020
21797,46076.92284960217,54296
22561,37865.61783493767,40722
18446,30277.5086515214,30850
6999,8036.68527699234,7404
6080,17018.324356204314,18510
505,9348.013404693704,12340
22089,37251.05465513417,40722
22655,33358.62032516662,30850
21037,33129.280323773026,30850
6975,25032.645309805335,29616
8740,13166.878618011606,14808
9649,35183.3173421124,29616
1460,36182.879115781136,40722
7723,25999.85114314395,23446
9215,3502.399470128861,7404
3171,26343.861145234347,22212
517,30506.848652914996,34552
8229,39163.02108341196,40722
3550,36196.69170273587,34552
12971,30736.188654308597,25914
5040,15234.728223305714,13574
17196,36425.91941185712,33318
14425,36338.762292797444,38254
1925,26357.56143991674,25914
14965,44981.23442861201,46892
9116,48928.58222958145,50594
13085,40318.46603409699,40722
24117,28837.922520713193,25914
11838,30007.06776608063,25914
4786,30534.249242279777,29616
11672,5469.167077136212,8638
17860,18985.09196321167,18510
24205,6436.37291047483,8638
7834,21025.540979141,19744
5818,12314.342785369787,9872
3976,12355.5559616893,8638
10885,24573.965307018138,22212
12325,10429.776946456775,9872
1229,37750.94783424088,39488
14248,10544.446947153576,6170
9465,61835.123871363416,65402
12358,23620.459768361903,20978
11031,27384.63609522259,24680
620,14936.774456227822,11106
2600,34399.282982882534,33318
10995,14936.774456227822,14808
5916,7679.087272491898,7404
2222,17673.876127782652,18510
10223,18870.421962514873,18510
10790,9233.231111724559,9872
12646,51908.72419721228,54296
13008,24445.595011638947,27148
15287,7807.457567871088,8638
1143,21910.43275211293,18510
24660,8036.68527699234,6170
7881,5299.58360543751,3702
760,7821.1578625534785,11106
1792,34541.46586521646,28382
8222,36237.79258678304,34552
15981,6381.459439472927,4936
17723,20869.657802124682,17276
11879,29067.26252210679,27148
3880,29296.602523500394,29616
16122,19214.431964605268,22212
17305,40987.83039263007,38254
23050,29195.63281748598,27148
12906,10315.106945759977,6170
2411,35967.23940906992,33318
22748,6652.012617186038,8638
24277,46022.00937860026,53062
15339,6766.682617882837,7404
7107,28824.222226030804,30850
12350,7733.88845122146,8638
15524,43880.702948928876,41956
11125,43339.821178047336,40722
8215,5185.025897013054,17276
1457,46292.450264041036,48126
16886,27769.74698136016,32084
6818,24803.305308411735,23446
16447,54604.724984719935,51828
5899,42143.27534331511,41956
9439,6610.799440866525,6170
15481,8375.739928117406,11106
23906,41684.595340527914,43190
24688,14936.774456227822,14808
16680,8563.979045463833,9872
20260,30392.178652218197,32084
11422,44536.367012779556,41956
1657,12199.672784672986,11106
15319,31703.394487647212,30850
23727,18356.940780998117,19744
14840,12199.672784672986,6170
2491,49840.986884190504,57998
22249,22180.8736375537,18510
7566,24431.894716956558,24680
20872,28851.622815395585,29616
24066,22249.487403237992,19744
10109,11544.121013094651,16042
10335,30392.178652218197,25914
18935,6523.642321806849,7404
19962,41670.89504584553,40722
20993,36439.731998811854,32084
15787,26586.90144131034,30850
15743,26229.191144537548,29616
187,56058.12370248289,64168
320,27884.416982056962,23446
8953,20525.647800034283,19744
1557,23492.089472982712,23446
18917,36696.36029729789,39488
242,45563.32937581307,45658
9227,12726.966553144477,9872
24394,13740.228621495602,12340
2606,10773.899240819517,9872
20251,4868.416484287438,8638
14492,24188.85442088057,24680
2887,37209.95377108699,39488
16724,34899.17616198924,33318
7972,36169.17882109874,37020
19786,16247.990291656837,14808
24695,19911.196912503117,19744
4825,35967.23940906992,34552
12566,38919.98078733597,34552
9493,26458.53114593115,27148
9138,2447.811933185876,6170
23748,33587.96032656022,27148
6391,35297.987342809196,37020
14344,29567.04340894116,34552
16134,27425.736979269765,29616
21944,37865.61783493767,39488
19763,36581.80258887344,39488
12664,49272.70452394419,53062
7604,54448.95409997596,62934
21842,13740.228621495602,7404
8979,12199.672784672986,13574
22378,22721.86770070758,28382
12518,47732.03639484923,44424
13655,50184.996886280904,48126
12195,16092.21940691287,16042
24636,16477.33029305044,16042
2272,10429.776946456775,8638
21690,20140.536913896714,17276
19941,27655.07698066336,27148
15189,23606.759473679514,23446
2156,37108.98406507258,39488
1554,46407.12026473783,46892
20439,21323.382453946546,16042
22232,5056.6556016338645,7404
17499,39460.974850489845,35786
12484,33574.14773960548,27148
17386,14822.104455531024,14808
8697,31703.394487647212,24680
21522,7922.0152762955395,4936
8470,37750.835541968525,35786
17426,38832.82366827629,34552
3638,21140.210979837797,20978
1247,14936.774456227822,13574
5952,7679.087272491898,7404
5423,11172.710421639473,12340
6580,34358.2943911077,33318
17977,17788.54612847945,14808
4688,31703.394487647212,28382
13590,59308.70655555447,59232
15483,19099.76196390847,19744
15370,7692.675274901942,8638
17523,27769.74698136016,33318
11936,12855.336848523666,7404
14528,32162.074490434406,28382
4436,53321.02203092804,51828
15291,12584.8959630829,13574
8528,43110.48117665374,48126
4285,30621.518653611794,28382
24299,36439.731998811854,33318
23687,31818.064488344015,34552
7670,61578.383280605034,62934
3062,14592.764454137425,17276
15235,32047.40448973761,27148
4204,10773.786948547173,7404
23652,19329.10196530207,12340
570,36297.54911647793,33318
1289,20296.307798640686,17276
18646,6610.799440866525,7404
20384,11159.010126957084,14808
21523,12511.326846433269,16042
24426,49941.956590204914,48126
4912,13909.812093194309,18510
9592,29053.562227424405,29616
6275,10773.786948547173,7404
14379,21836.8636354633,22212
8039,21836.8636354633,27148
4068,5184.913604740711,6170
22301,60450.45121155711,61700
5306,34271.024979775684,30850
5589,34243.51209813856,39488
6518,8036.68527699234,6170
4492,49955.65688488731,55530
2415,12483.92625706849,8638
1023,34642.43557123087,28382
2400,33642.76150528978,33318
9895,43468.07918115418,39488
5766,42785.12682021105,41956
17364,36325.06199811506,37020
2531,24573.965307018138,23446
644,17059.425240251487,13574
6740,31134.99983512855,27148
18790,27425.736979269765,25914
9336,36966.913475011,45658
15478,36095.72199672146,40722
17510,43225.03888507818,38254
5868,19214.431964605268,16042
14756,25999.85114314395,20978
5989,20383.577209972704,19744
18298,7922.0152762955395,9872
7702,10888.456949243973,8638
2074,36324.94970584271,34552
1217,25999.85114314395,33318
15105,12199.672784672986,9872
7385,43683.718887865376,48126
7767,12483.92625706849,14808
23440,35568.42822824997,34552
13417,37379.424950513356,38254
21557,12199.672784672986,7404
12543,19329.10196530207,20978
16767,10773.786948547173,11106
10840,21667.392456036945,17276
18494,32047.40448973761,37020
11828,8036.68527699234,9872
15485,36439.731998811854,34552
18856,43569.16117944093,41956
3022,20296.307798640686,20978
15194,20754.987801427884,17276
23795,39062.163669669884,38254
12052,32162.074490434406,29616
2185,30277.5086515214,30850
22142,49515.63252774784,56764
5728,10801.299830184296,6170
4616,40061.72544333862,39488
18579,23904.71324075741,25914
4763,57483.89724633635,56764
11888,14936.774456227822,14808
9438,17903.216129176253,17276
9119,13666.771797118321,9872
20267,30736.188654308597,34552
629,23262.749471589115,23446
15094,27425.736979269765,32084
5488,29864.99717601905,32084
19091,16247.990291656837,17276
2594,52239.03390462028,46892
1886,39717.71544124823,46892
10176,14936.774456227822,11106
212,16376.472879308369,20978
250,11030.639831577895,8638
24827,2447.811933185876,3702
8852,13740.228621495602,8638
7321,25289.385900563713,24680
6924,30277.5086515214,30850
1658,-775.2580382485875,7404
13240,14822.104455531024,14808
15400,23148.079470892317,18510
22064,14936.774456227822,18510
17454,47447.89521472607,46892
5449,31446.653896888834,33318
3137,25999.85114314395,19744
11430,7922.127568567888,8638
1295,20410.977799337485,23446
7433,19099.76196390847,23446
6304,27540.406979966563,30850
10626,7949.528157932668,7404
8412,3873.697769311689,7404
5891,9247.043698679294,12340
21489,30364.778062853416,30850
4831,32088.50537378478,37020
6482,6725.469441563325,3702
24691,40717.3895071893,38254
20504,31932.73448904081,28382
11881,34000.471802062566,37020
17361,33986.883799652525,33318
5278,31818.064488344015,34552
19704,29195.63281748598,33318
9788,35169.61704743001,37020
12626,24674.822720760196,27148
1511,61761.55475471378,67870
18779,32162.074490434406,33318
20577,17018.324356204314,16042
6245,13267.960616298362,9872
13786,41515.01186882921,49360
15026,40575.206624855375,43190
14168,24573.965307018138,25914
3281,42028.60534261831,40722
13169,41372.94127876764,43190
24171,12199.672784672986,14808
21041,39974.4560320066,38254
10252,12254.58625567489,13574
9806,15051.44445692462,12340
14614,23492.089472982712,25914
10711,33243.95032446983,25914
23284,24005.57065449947,28382
21459,37136.38465443737,34552
17175,30121.737766777427,34552
21495,27499.306095919394,29616
23756,5070.2436040439125,6170
5775,29337.70340754756,27148
19485,46191.59285029896,41956
10085,6266.9017310484705,7404
13500,31520.11072126612,37020
3601,14010.781799208718,9872
21779,48259.33016332072,49360
14253,30635.218948294187,29616
15273,21951.5336361601,22212
17459,10915.969830881095,8638
12191,25999.85114314395,23446
22375,12314.342785369787,6170
7178,10888.456949243973,13574
18367,28824.109933758456,22212
4545,57484.00953860869,59232
17467,9490.083994755281,8638
1560,48772.811344837486,48126
4413,41799.26534122472,41956
14557,23606.759473679514,22212
8574,35710.49881831155,37020
13341,46691.37373713333,49360
3120,32047.40448973761,35786
21617,33129.280323773026,32084
21749,7023.423208641215,8638
16706,24161.453831515788,27148
20273,23079.577997480366,20978
22417,6496.129440169726,7404
9837,30635.218948294187,32084
944,28979.993110774776,27148
8059,44866.56442791522,46892
5007,18160.069012206975,22212
14951,57043.98518146922,56764
22940,33587.96032656022,37020
19892,8307.238454705455,8638
6059,38947.49366897309,35786
2623,58997.05249379418,60466
5418,61220.67298383225,66636
24848,9347.901112421358,9872
10363,40359.679210416514,37020
18620,26114.52114384075,27148
24582,27114.19520978183,30850
3935,38035.089014364035,34552
13205,30277.5086515214,30850
24706,53091.682029534444,57998
642,32547.185376571975,28382
17536,23262.749471589115,20978
16753,36081.909409766726,39488
66,48901.18164021667,54296
7064,20296.307798640686,16042
10296,9233.231111724559,7404
14463,31634.78072196292,28382
8319,25729.41025770318,25914
3094,42143.27534331511,44424
10639,24431.78242468421,24680
17444,12085.002783976188,6170
6459,37209.95377108699,37020
9263,25999.85114314395,22212
15333,43110.48117665374,50594
3064,17903.216129176253,18510
3277,9347.901112421358,11106
17892,55489.72904996421,55530
12982,20525.647800034283,20978
24714,15051.44445692462,17276
19185,7922.0152762955395,7404
22518,40515.450095160486,44424
2039,23262.749471589115,22212
18867,17788.54612847945,14808
7475,21992.746812479614,18510
14240,47090.18491795329,49360
12061,36210.39199741826,39488
12868,13382.63061699516,9872
8082,17018.324356204314,14808
15217,30736.188654308597,35786
16219,31818.064488344015,30850
1717,37521.60783284728,39488
971,6381.459439472927,7404
707,26100.82084915836,25914
17897,7807.345275598741,6170
20271,58510.9719016422,62934
19001,2076.5136340030404,13574
9512,24775.904719046957,25914
14199,43312.30829641021,39488
415,37507.79524589254,37020
22889,41244.57098338845,39488
18200,13510.888620102003,11106
11512,7807.457567871088,8638
24968,40460.53662415858,43190
21501,13625.670913071152,8638
22091,54448.95409997596,57998
17427,26384.96202928152,29616
24713,34926.464459081675,30850
10788,22066.2036368569,20978
22932,20410.977799337485,19744
2571,6679.413206550817,8638
21930,40102.826327385796,38254
16349,-390.1471521110201,7404
22727,38947.381376700745,44424
14305,33872.10150668338,34552
12427,7922.0152762955395,6170
